user;id;date;text
UPIfess;1,66E+18;29/05/2023 14.45;!upi guys mau minta saran dong, di prodi sender sekarang wajib mbkm nah sender anak kipk yg cuma bisa bergantung dari biaya hidup kipk itu. sender denger dari temen yg kamjar anak kipk, itu cuma dapet uang 500k selama 3 bulan. sender bingung harus ikut mbkm apaa:(
symerewraith;1,66E+18;28/05/2023 11.11;@telyufess w ikut 22nya. kp internal gadapet uang, tp gmn dosennya sih (ada yg ngasi sm nga). mbkm itu cair duit kalo batch sekarang (cmiiw) tergantung gmn perusahaan, ada yg perbulan ada juga yg dikolektifin 3 bulan.  kemarin aku mbkm batch2 cairnya per 3 bulan sekali. saranku sih mbkm yaa
teronggbelanda;1,66E+18;27/05/2023 22.28;saran gua kalo lu pada mau ikut mbkm (terutama yg msib) minimal harus kaya atau punya tabungan yg cukup buat kebutuhan sehari-hari dikosan, inget cuy pemerintah kita gabisa amanah kalo menyangkut uang.
sathursya;1,66E+18;25/05/2023 20.50;@sosmedkeras gapapa nder. aku gpernah ngmg berapa gajiku asli selama ini. ikut program mbkm aja orgtuaku gatau aku dapet uang brp. yg penting mah klo orgtua pgn apa gt ya beliin
UGM_FESS;1,66E+18;24/05/2023 12.35;ugm_fess kalo mbkm tu masih dapet uang kip kuliah nggak ya?
gupikanawutbby;1,66E+18;24/05/2023 09.58;"Unud klo ngasih info mbkm tuh yg bner bisa ga sih, tetiba. Bru ada info nyari surat ini tu capek gila, dosen pa sulit ditemui gmna mau lancar nih program info &amp; cari surat aja dipersulit"
undipmenfess;1,66E+18;23/05/2023 17.45;-dips! kakak-kakak aku mau tanya tp tolong jangan salty, kalo ikut magang mbkm/msib tp posisinya sebagai penerima kipk tuh nanti tetep dapet uang saku dari kipk maupun perusahaannya ga ya? terima kasih banyak
dunianyasalma;1,66E+18;21/05/2023 14.52;@collegemenfess lah dijadiin data palsu? terus intensif dari mbkmnya masuk ke mana? kan setiap ikut mbkm pasti dikasih uang perbulan 1.2jt sama ukt 2.4jt. itu uangnya kemana kalo gitu?
tuanmudamalpi;1,66E+18;20/05/2023 23.02;apasi ini anak2 mbkm pada pamer uang dengan ss brimonya, first time babyy uhhh?
xxlittlebeeboo;1,66E+18;17/05/2023 10.08;Asli banget ini mah wahai bapak/ibu panitia MSIB dan MBKM, saya beneran tinggal punya uang 10rb ?? Masa iya saya berangkat ke kantor tempat magang harus jalan kaki? ?? Tolong kejelasan pencairan bbh MSIB batch 4 nya ???? @nadiemmakarim @Kemdikbud_RI @Itjen_Kemdikbud @ditjendikti
